State,Confirmed,Deaths,Recoveries
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,2090,46,1056
Arunachal Pradesh,1,0,1
Assam,65,2,39
Bihar,831,6,383
Chandigarh,187,3,28
Chhattisgarh,59,0,54
Dadra and Nagar Haveli and Daman and Diu,1,0,0
Delhi,7639,86,2512
Goa,7,0,7
Gujarat,8903,537,3246
Haryana,780,11,342
Himachal Pradesh,65,2,39
Jammu and Kashmir,934,10,455
Jharkhand,172,3,79
Karnataka,925,31,433
Kerala,524,4,489
Ladakh,42,0,21
Lakshadweep,0,0,0
Madhya Pradesh,3986,225,1860
Maharashtra,24427,921,5125
Manipur,2,0,2
Meghalaya,13,1,10
Mizoram,1,0,1
Nagaland,0,0,0
Odisha,437,3,116
Puducherry,13,1,9
Punjab,1914,32,171
Rajasthan,4126,117,2378
Sikkim,0,0,0
Tamil Nadu,8718,61,2134
Telangana,1326,32,830
Tripura,154,0,2
Uttar Pradesh,3664,82,1873
Uttarakhand,69,1,46
West Bengal,2173,198,612
